ID,EN,CN,JP
Note,,,
DefaultValue,Default,默认,デフォルト
TimeUnit,MIN,分钟,分
TimeLeft,TimeLeft,剩余时间,残り時間
TimesUp,Time's up,时间到,タイムアップ
Main_NickNameInputFieldTip,Enter your nickname,请输入您的昵称,ニックネームを入力してください
Main_LoginButtonText,Login,登录,ログイン
Menu_SettingsButtonText,Settings,游戏设置,ゲーム設定
Menu_HelpButtonText,Help,帮助,ヘルプ
Menu_AboutButtonText,About,关于,このゲームについて
Menu_ReturnButtonText,Return,返回,戻る
Menu_ExitRoomButtonText,Exit Room,退出房间,退室
Help_ReturnButtonText,I got it,明白了,わかった
Help_WindowHeaderText,Need some help?,帮助页面,ヘルプ一覧
Help_WindowCategoryText,Category:,分类：,カテゴリー：
Sett_SettingsWindowHeader,Settings,游戏设置,ゲーム設定
Sett_LanguageCategoryHeader,Language,语言,言語
Sett_LanguageCategory,English(EN),简体中文(CN),日本語(JP)
Sett_SettingsWindowSaveButton,Save,保存,保存
Sett_SettingsWindowReturnButton,Return,返回,戻る
Dlog_ExitGameContext,Are you sure to quit?,退出游戏吗？,ゲームを終了しますか？
Dlog_ExitGameConfirmButton,Yes,退出,はい
Dlog_ExitGameDenyButton,No,算了,いいえ
Dlog_NoRoomAvailableText,No room available right now. You can create you own in the "CreateRoom" page.,现在没有可用的房间，你可以在“创建房间”界面创建你自己的房间。,いまは参加できるゲームはございません。「ルーム作成」頁でゲームルームを作ろ作成しよ。
Lobb_RoomListHeaderIndex,Index,号码,番号
Lobb_RoomListHeaderRoomName,Room name,房间名,ルーム名
Lobb_RoomListHeaderPlayer,Players,玩家数量,人数
NavB_RoomBrowserButtonText,Room Browser,房间一览,ルーム一覧
NavB_CreateRoomButtonText,Create Room,创建房间,ルーム作成
NavB_LoadOutButtonText,LoadOut,装备选择,装備設定
CreR_RoomNameInputLable,Room name,房间名称,ルーム名
CreR_MapSelectLable,Game map,地图名称,マップ名
CreR_PlayerLimitLable,Player limit,玩家人数,プレイヤ数
CreR_GameModeLable,Game mode,游戏模式,ゲームモード
CreR_TimeLimiLable,Time limit,时间限制,時間制限
CreR_HealthLimitLabel,Health limit,生命值上限,ＨＰ上限
RooP_PlayerCountLabel,Player count,玩家数量,プレイヤ数
RooP_HealthLimitLabel,Health limit,血量上限,ＨＰ上限
RooP_TimeLimitLabel,TimerLimit,时间限制,時間制限
RooP_JoinButtonRoomFull,Room full,人数已满,満員
RooP_JoinButtonCanJoin,Join Room,加入游戏,入室
Roop_ScoreLimitLabel,Score limit,胜利分数,勝利点数
Open_StartGameTextPleaseStandBy,Please stand by,请稍等,間もなく始めます
Open_StartGameTextStart,Start Game,开始游戏,ゲーム開始
Weap_ReloadingText,Reloading,填装中,装填中
Weap_OutOfAmmo,OutOfAmmo,弹药耗尽,弾キレ
